Month,Year,Sales
January,2010,"81,693"
February,2010,"100,352"
March ,2010,"145,539"
April ,2010,"149,757"
May ,2010,"155,008"
June,2010,"154,656"
July ,2010,"148,865"
August ,2010,"136,173"
September,2010,"135,232"
October,2010,"123,317"
November,2010,"116,100"
December,2010,"111,787"
January,2011,"84,599"
February,2011,"96,105"
March ,2011,"153,700"
April ,2011,"160,089"
May ,2011,"149,203"
June,2011,"165,001"
July ,2011,"141,641"
August ,2011,"140,474"
September,2011,"134,708"
October,2011,"125,835"
November,2011,"121,306"
December,2011,"114,696"
January,2012,"97,635"
February,2012,"106,894"
March ,2012,"157,962"
April ,2012,"157,847"
May ,2012,"175,525"
June,2012,"169,708"
July ,2012,"148,350"
August ,2012,"149,463"
September,2012,"143,363"
October,2012,"135,696"
November,2012,"125,912"
December,2012,"109,096"
January,2013,"95,434"
February,2013,"103,330"
March ,2013,"156,918"
April ,2013,"171,965"
May ,2013,"185,332"
June,2013,"171,825"
July ,2013,"159,186"
August ,2013,"159,059"
September,2013,"149,287"
October,2013,"145,657"
November,2013,"134,052"
December,2013,"113,201"
January,2014,"95,796"
February,2014,"105,927"
March ,2014,"157,373"
April ,2014,"179,044"
May ,2014,"195,905"
June,2014,"175,809"
July ,2014,"177,231"
August ,2014,"171,837"
September,2014,"168,224"
October,2014,"155,216"
November,2014,"138,886"
December,2014,"131,520"
January,2015,"99,051"
February,2015,"109,248"
March ,2015,"160,416"
April ,2015,"189,216"
May ,2015,"198,084"
June,2015,"178,013"
July ,2015,"177,999"
August ,2015,"175,670"
September,2015,"174,447"
October,2015,"163,157"
November,2015,"145,426"
December,2015,"129,031"
January,2016,"108,660"
February,2016,"119,201"
March ,2016,"175,407"
April ,2016,"200,327"
